id,longest path,total edge,rate,total vertex
280,4,6,0.666666667,6
281,2,2,1,3
282,2,3,0.666666667,3
283,14,18,0.777777778,18
284,5,9,0.555555556,9
285,5,9,0.555555556,9
286,5,5,1,6
287,8,8,1,9
288,2,2,1,3
289,2,3,0.666666667,3
290,2,2,1,3
291,14,14,1,15
292,8,12,0.666666667,12
293,2,2,1,3
294,7,12,0.583333333,12
295,2,2,1,3
296,8,8,1,9
297,5,5,1,6
298,2,2,1,3
299,10,17,0.588235294,15
300,5,9,0.555555556,9
301,2,2,1,3
302,8,8,1,9
303,2,2,1,3
304,8,8,1,9
305,5,5,1,6
306,2,2,1,3
307,4,6,0.666666667,6
308,8,9,0.888888889,9
309,8,13,0.615384615,12
310,2,2,1,3
311,2,2,1,3
312,2,2,1,3
313,10,16,0.625,15
314,8,8,1,9
315,5,5,1,6
316,8,8,1,9
317,2,2,1,3
318,8,8,1,9
319,8,8,1,9
320,2,2,1,3
321,8,8,1,9
322,8,12,0.666666667,12
323,8,8,1,9
324,2,2,1,3
325,2,2,1,3
326,4,6,0.666666667,6
327,8,15,0.533333333,15
328,5,9,0.555555556,9
329,2,2,1,3
330,8,8,1,9
331,5,5,1,6
332,8,8,1,9
333,5,9,0.555555556,9
334,8,8,1,9
335,14,19,0.736842105,18
336,14,14,1,15
337,8,8,1,9
338,2,2,1,3
339,8,8,1,9
340,2,2,1,3
341,8,10,0.8,9
342,2,2,1,3
343,14,22,0.636363636,21
344,14,14,1,15
345,2,2,1,3
346,8,9,0.888888889,9
347,11,15,0.733333333,15
348,5,5,1,6
349,7,9,0.777777778,9
350,5,5,1,6
351,7,9,0.777777778,9
352,8,12,0.666666667,12
353,5,9,0.555555556,9
354,2,2,1,3
355,8,8,1,9
356,2,2,1,3
357,8,12,0.666666667,12
358,5,5,1,6
359,5,5,1,6
360,8,8,1,9
361,8,8,1,9
362,8,8,1,9
363,14,19,0.736842105,18
364,8,8,1,9
365,8,8,1,9
366,8,8,1,9
367,8,8,1,9
368,5,9,0.555555556,9
369,8,16,0.5,15
370,14,19,0.736842105,18
371,8,8,1,9
372,5,9,0.555555556,9
373,2,2,1,3
374,2,2,1,3
375,8,8,1,9
376,8,8,1,9
377,8,12,0.666666667,12
378,14,19,0.736842105,18
379,2,2,1,3
380,2,2,1,3
381,2,2,1,3
382,2,2,1,3
383,2,2,1,3
