nohup: ignoring input
2022-08-12 06:05:44.326703: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcudart.so.11.0'; dlerror: libcudart.so.11.0: cannot open shared object file: No such file or directory
2022-08-12 06:05:44.326746: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2022-08-12 06:05:47.391181: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcuda.so.1'; dlerror: libcuda.so.1: cannot open shared object file: No such file or directory
2022-08-12 06:05:47.391226: W tensorflow/stream_executor/cuda/cuda_driver.cc:269] failed call to cuInit: UNKNOWN ERROR (303)
2022-08-12 06:05:47.391250: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:156] kernel driver does not appear to be running on this host (ubuntu): /proc/driver/nvidia/version does not exist
2022-08-12 06:05:47.391574: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
random - 000296 :  1.521905263264974e-05
random - 000297 :  4.5100847880045576e-06
random - 000298 :  1.2715657552083334e-05
random - 000299 :  2.205371856689453e-05
random - 000300 :  3.1113624572753906e-05
random - 000301 :  3.5921732584635414e-05
random - 000302 :  2.07821528116862e-05
random - 000303 :  2.3206075032552082e-05
random - 000304 :  3.159046173095703e-06
random - 000305 :  2.002716064453125e-05
random - 000306 :  1.2675921122233072e-05
random - 000307 :  1.899401346842448e-05
random - 000308 :  3.814697265625e-05
random - 000309 :  1.800060272216797e-05
random - 000310 :  3.6954879760742188e-06
random - 000311 :  2.964337666829427e-05
random - 000312 :  1.633167266845703e-05
random - 000313 :  2.5113423665364582e-05
random - 000314 :  1.5536944071451824e-05
random - 000315 :  1.2874603271484375e-05
random - 000316 :  4.455447196960449e-06
random - 000317 :  3.5365422566731772e-06
random - 000318 :  4.100799560546875e-05
random - 000319 :  1.533826192220052e-05
random - 000320 :  1.9788742065429688e-05
random - 000321 :  5.692243576049805e-06
random - 000322 :  2.7100245157877605e-05
random - 000323 :  2.9961268107096355e-05
random - 000324 :  1.3788541158040365e-05
random - 000325 :  2.4557113647460938e-05
random - 000326 :  4.410743713378906e-06
random - 000327 :  5.25514284769694e-06
random - 000328 :  2.682209014892578e-05
random - 000329 :  2.6384989420572918e-05
random - 000330 :  1.6927719116210938e-05
random - 000331 :  4.688898722330729e-05
random - 000332 :  1.5576680501302082e-05
random - 000333 :  2.296765645345052e-05
random - 000334 :  2.7497609456380207e-05
random - 000335 :  1.3788541158040365e-05
random - 000336 :  1.331170399983724e-05
random - 000337 :  5.970398585001628e-06
random - 000338 :  1.8517176310221355e-05
random - 000339 :  1.8358230590820312e-05
random - 000340 :  4.629294077555339e-06
random - 000341 :  1.2000401814778646e-05
random - 000342 :  1.601378122965495e-05
random - 000343 :  1.3550122578938803e-05
random - 000344 :  2.6384989420572918e-05
random - 000345 :  1.6530354817708332e-05
random - 000346 :  1.2755393981933594e-05
random - 000347 :  3.973642985026042e-06
random - 000348 :  3.238519032796224e-06
random - 000349 :  3.417332967122396e-06
random - 000350 :  5.880991617838542e-06
random - 000351 :  2.964337666829427e-05
random - 000352 :  1.903374989827474e-05
random - 000353 :  1.8596649169921875e-05
random - 000354 :  1.4742215474446615e-05
random - 000355 :  1.8636385599772137e-05
