No,torch_tf_max_diff,torch_tf_mean_diff,torch_mindspore_max_diff,torch_mindspore_mean_diff,tf_mindspore_max_diff,tf_mindspore_mean_diff,avg_max_diff,avg_mean_diff,channels,model,fail_time
81,1.24E-05,1.38E-06,1.29E-05,1.40E-06,1.28E-05,3.23E-07,1.27E-05,1.03E-06,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
82,3.24E-05,4.17E-06,3.19E-05,4.08E-06,2.24E-05,6.03E-07,2.89E-05,2.95E-06,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:4  from:1 to:2 operator:-1  ,0
83,7.81E-06,1.39E-06,7.48E-06,1.32E-06,7.63E-06,4.49E-07,7.64E-06,1.05E-06,0:1 1:1 2:2 3:1 4:1 5:1 ,from:0 to:2 operator:9  from:0 to:3 operator:-1  from:3 to:4 operator:6  from:4 to:5 operator:-1  from:5 to:1 operator:-1  from:1 to:2 operator:-1  ,0
84,2.00E-05,1.24E-06,1.91E-05,1.20E-06,3.62E-05,2.57E-07,2.51E-05,8.99E-07,0:1 1:1 2:1 ,from:0 to:1 operator:3  from:1 to:2 operator:-1  ,0
85,2.10E-05,1.25E-06,2.34E-05,1.28E-06,1.67E-05,2.02E-07,2.03E-05,9.12E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
86,1.74E-05,1.79E-06,1.69E-05,1.79E-06,1.31E-05,3.63E-07,1.58E-05,1.31E-06,0:1 1:1 2:1 ,from:0 to:1 operator:11  from:1 to:2 operator:-1  ,0
87,1.38E-05,1.61E-06,1.36E-05,1.60E-06,1.36E-05,3.00E-07,1.37E-05,1.17E-06,0:1 1:1 2:1 ,from:0 to:1 operator:3  from:1 to:2 operator:-1  ,0
88,2.00E-05,1.38E-06,1.76E-05,1.37E-06,3.34E-05,7.60E-07,2.37E-05,1.17E-06,0:1 1:1 2:1 ,from:0 to:1 operator:7  from:1 to:2 operator:-1  ,0
89,3.15E-05,1.21E-06,2.86E-05,1.20E-06,2.31E-05,5.84E-07,2.77E-05,9.99E-07,0:1 1:1 2:1 ,from:0 to:1 operator:7  from:1 to:2 operator:-1  ,0
90,1.19E-05,1.85E-06,1.14E-05,1.81E-06,7.15E-06,2.86E-07,1.02E-05,1.31E-06,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:-1  from:1 to:2 operator:-1  ,0
91,2.56E-06,6.30E-07,2.50E-06,6.25E-07,3.40E-06,1.10E-07,2.82E-06,4.55E-07,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:-1  from:1 to:2 operator:-1  ,0
